,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
2,11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$329.00,The Redd Collection,"1990Barbaresco,Angelo Gaja",USA (CA)
6,11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$175.00,The Redd Collection,"2010Barbaresco,Angelo Gaja",USA (CA)
18,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$304.00,The Redd Collection,"2009Barbaresco,Costa Russi,Angelo Gaja",USA (CA)
22,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$359.99,Lynnway Liquor Mart,Gaja Costa Russi Barbaresco20092009750ml,USA (MA)
23,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$379.00,The Old & Rare Wine Company,Angelo Gaja Costa Russi Langhe2009,USA (CA)
24,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$379.98,Wine House,2009Angelo Gaja Langhe Costa Russi750ml,USA (CA)
28,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$799.99,Wine Anthology,2009Gaja Costa Russi,USA (NJ)
32,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$1849.00,Italian Wine Merchants,Gaja Costa Russi20093L,USA (NY)
36,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$329.00,IronGate.Wine,2000Gaja Sori San Lorenzo-750mL,USA (NY)
37,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$339.00,SommPicks,2000Gaja Langhe Nebbiolo Sori San Lorenzo,USA (CA)
39,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$348.00,The Redd Collection,"2000Barbaresco,Sori San Lorenzo,Angelo Gaja",USA (CA)
40,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$348.00,Westgarth Wines,"2000Gaja,Sori San Lorenzo",USA (CA)
41,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$358.95,Vickers Wine On-line,Gaja Sori San Lorenzo2000,USA (RI)
42,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$379.00,Sokolin & Co.,2000Gaja Barbaresco Sori San Lorenzo,USA (NY)
44,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$700.00,Vinfolio,2000Gaja-Langhe Sori San Lorenzo1.5L,USA (CA)
49,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,$4175.00,Westgarth Wines,"2000Gaja,Sori San Lorenzo",USA (CA)
52,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$304.00,The Redd Collection,"2009Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
53,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$315.00,Westgarth Wines,"2009Gaja,Sori Tildin",USA (CA)
56,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$449.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2009(Piedmont,Italy)-[AG96][WE95][JS95][WS93]",USA (CA)
58,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$459.99,Lynnway Liquor Mart,Gaja Sori Tildin Barbaresco20092009750ml,USA (MA)
66,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,$3775.00,Westgarth Wines,"2009Gaja,Sori Tildin",USA (CA)
68,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$334.00,Yankee Spirits,GAJASORITILDINLANGHEBARBARESCO2010,USA (MA)
69,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$364.99,Stirling Fine Wines,"Gaja Sori Tildin2010,Piedmont,Langhe",USA (NJ)
71,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$379.99,Maximum Beverage,Gaja-Langhe Sori Tildin2010,USA (CT)
72,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$395.00,European Wine Resource,2010Gaja-Sori Tildin,USA (CA)
73,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$420.00,WineDeals.com Premier Wine & Spirits,Gaja Sori Tildin2010/750ml.,USA (NY)
74,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
75,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
76,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2010(Piedmont,Italy)-[JS97][RP96+][JS96(+)][WS94]",USA (CA)
77,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.99,Lincoln Fine Wines,Gaja-Nebbiolo Sori Tildin Langhe2010,USA (CA)
81,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$910.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
95,11336,"Barbaresco,Sori Tildin,Angelo Gaja",2010,1.5L,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$2725.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
103,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$334.00,Yankee Spirits,GAJASORITILDINLANGHEBARBARESCO2010,USA (MA)
104,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$364.99,Stirling Fine Wines,"Gaja Sori Tildin2010,Piedmont,Langhe",USA (NJ)
106,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$379.99,Maximum Beverage,Gaja-Langhe Sori Tildin2010,USA (CT)
107,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$395.00,European Wine Resource,2010Gaja-Sori Tildin,USA (CA)
108,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$420.00,WineDeals.com Premier Wine & Spirits,Gaja Sori Tildin2010/750ml.,USA (NY)
109,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
110,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$455.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
111,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2010(Piedmont,Italy)-[JS97][RP96+][JS96(+)][WS94]",USA (CA)
112,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$489.99,Lincoln Fine Wines,Gaja-Nebbiolo Sori Tildin Langhe2010,USA (CA)
116,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$910.00,The Redd Collection,"2010Barbaresco,Sori Tildin,Angelo Gaja",USA (CA)
130,11337,"Barbaresco,Sori Tildin,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tilden+angelo+gaja/2010/-/-/u,$2725.00,Westgarth Wines,"2010Gaja,Sori Tildin",USA (CA)
137,11338,"Barolo Bussia Colonnello,Aldo Conterno",1989,750ml,https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1989,$156.00,Spectrum Wine Auctions,[lot78355]Aldo Conterno Barolo Bricco Bussia Vigna Colonnello1989,USA (CA)
140,11338,"Barolo Bussia Colonnello,Aldo Conterno",1989,750ml,https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1989,$278.00,The Redd Collection,"1989Barolo Bussia Colonnello,Aldo Conterno",USA (CA)
141,11338,"Barolo Bussia Colonnello,Aldo Conterno",1989,750ml,https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1989,$475.00,Estate Wine Brokers,Aldo Conterno Barolo Colonnello19891500ml,USA (TX)
142,11339,"Barolo Bussia Colonnello,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1990,$266.00,The Redd Collection,"1990Barolo Bussia Colonnello,Aldo Conterno",USA (CA)
143,11340,"Barolo Monprivato,Giuseppe Mascarello",1989,750ml,https://www.wine-searcher.com/find/barolo+monprivato+giuseppe+mascarello/1989,$949.00,Benchmark Wine Group,Giuseppe Mascarello Barolo Monprivato1989,USA (CA)
144,11340,"Barolo Monprivato,Giuseppe Mascarello",1989,750ml,https://www.wine-searcher.com/find/barolo+monprivato+giuseppe+mascarello/1989,$3500.00,Acker Merrall & Condit New York Auction,1989Barolo MonprivatoG.Mascarello,USA (NY)
145,11341,"Barolo Monprivato,Giuseppe Mascarello",1990,750ml,https://www.wine-searcher.com/find/barolo+monprivato+giuseppe+mascarello/1990,$699.00,Blacksmith Fine Wines,1990Guiseppe Mascarello Barolo Monprivato,USA (NY)
150,11342,"Barolo,Gran Bussia,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u,$349.00,Acker Merrall & Condit New York Retail,1990A.Conterno Barolo Granbussia Riserva,USA (NY)
155,11342,"Barolo,Gran Bussia,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u,$499.00,Benchmark Wine Group,Aldo Conterno Barolo Riserva Gran Bussia1990,USA (CA)
158,11342,"Barolo,Gran Bussia,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u,$549.00,IronGate.Wine,1990Poderi Aldo Conterno Barolo Riserva Granbussia-750mL,USA (NY)
159,11342,"Barolo,Gran Bussia,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u,$607.00,The Redd Collection,"1990Barolo,Granbussia,Aldo Conterno",USA (CA)
160,11342,"Barolo,Gran Bussia,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u,$1022.00,Italian Wine Merchants,Poderi Aldo Conterno Barolo Granbussia Riserva1990750ml,USA (NY)
162,11342,"Barolo,Gran Bussia,Aldo Conterno",1990,750ml,https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u,$1500.00,New York Wine Warehouse,"1990ALDOCONTERNO,BAROLOGRANBUSSIA,REDITALIAN",USA (NY)
165,11343,"Barolo,Sperss,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barolo+sperss+angelo+gaja/2000/-/-/u,$228.00,The Redd Collection,"2000Barolo,Sperss,Angelo Gaja",USA (CA)
170,11343,"Barolo,Sperss,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barolo+sperss+angelo+gaja/2000/-/-/u,$289.99,Raeders Wines & Liquors,"2000Gaja Barolo Sperss,Italy,Piedmont,Langhe,Red",USA (NY)
171,11343,"Barolo,Sperss,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barolo+sperss+angelo+gaja/2000/-/-/u,$295.00,Sokolin & Co.,2000Gaja Sperss Barolo,USA (NY)
172,11343,"Barolo,Sperss,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barolo+sperss+angelo+gaja/2000/-/-/u,$299.99,Hyde Park Gourmet Food & Wine,"Gaja Sperss Langhe,Piedmont2000",USA (OH)
185,11344,"Beaune,Closdes Mouches,rouge,Domaine Joseph Drouhin",2005,750ml,https://www.wine-searcher.com/find/beaune+clos+de+mouches+rouge+dom+joseph+drouhin/2005/-/-/u,$95.00,Mt. Carmel Wine & Spirits Co.,Beaune Closdes Mouches Joseph Drouhin2005,USA (CT)
186,11344,"Beaune,Closdes Mouches,rouge,Domaine Joseph Drouhin",2005,750ml,https://www.wine-searcher.com/find/beaune+clos+de+mouches+rouge+dom+joseph+drouhin/2005/-/-/u,$115.00,Casey Key Collector Wine,Domaine Joseph Drouhin Closdes Mouches Pinot Noir Burgundy Cotede Beaune2005,USA (FL)
189,11344,"Beaune,Closdes Mouches,rouge,Domaine Joseph Drouhin",2005,750ml,https://www.wine-searcher.com/find/beaune+clos+de+mouches+rouge+dom+joseph+drouhin/2005/-/-/u,$145.00,The Redd Collection,"2005Beaune,Closdes Mouches,Rouge,Domaine Joseph Drouhin",USA (CA)
190,11344,"Beaune,Closdes Mouches,rouge,Domaine Joseph Drouhin",2005,750ml,https://www.wine-searcher.com/find/beaune+clos+de+mouches+rouge+dom+joseph+drouhin/2005/-/-/u,$179.00,Sokolin & Co.,2005Drouhin Beaune Closdes Mouches Rouge,USA (NY)
199,11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u,$626.00,The Redd Collection,"2015Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",USA (CA)
202,11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u,$699.99,Buy-Rite Jersey City,Domaine Leflaive-Bienvenues-Batard-Montrachet2015(750ml),USA (NJ)
203,11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u,$750.00,Pogo's Liquor Inc.,Domaine Leflaive-Bienvenues-Batard-Montrachet2015,USA (TX)
207,11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u,$2499.00,Benchmark Wine Group,Domaine Leflaive Bienvenues Batard Montrachet20153L,USA (CA)
215,11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u,$3618.99,Flickinger Wines,2015Dom.Leflaive Bienvenues Batard Montrachet Grand Cru,USA (IL)
216,11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u,$3864.00,Wine Cellarage,2015Domaine Leflaive Bienvenues Batard Montrachet[Future Arrival],USA (NY)
226,11346,"Bonnes Mares,Domaine Comte Georgesde Vogue",2011,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2011/-/-/u,$499.97,Flask Fine Wine & Whisky,Domaine Leflaive-Bienvenues-Batard-Montrachet2011,USA (CA)
231,11346,"Bonnes Mares,Domaine Comte Georgesde Vogue",2011,750ml,https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2011/-/-/u,$1099.00,Acker Merrall & Condit New York Retail,2011Leflaive Bienvenue Batard Montrachet,USA (NY)
234,11347,"Bonnes Mares,Domaine Drouhin Laroze",2010,750ml,https://www.wine-searcher.com/find/bonnes+mares+domaine+drouhin+laroze/2010,$158.00,The Redd Collection,"2010Bonnes Mares,Domaine Drouhin Laroze",USA (CA)
245,11347,"Bonnes Mares,Domaine Drouhin Laroze",2010,750ml,https://www.wine-searcher.com/find/bonnes+mares+domaine+drouhin+laroze/2010,$1200.00,Wine Cellarage,2010Drouhin Laroze Bonnes Mares[Future Arrival],USA (NY)
246,11347,"Bonnes Mares,Domaine Drouhin Laroze",2010,750ml,https://www.wine-searcher.com/find/bonnes+mares+domaine+drouhin+laroze/2010,$1246.99,Flickinger Wines,2010Dom.Drouhin-Laroze Bonnes Mares Grand Cru,USA (IL)
252,11348,Carruades De Lafite,1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$255.00,Belmont Wine Exchange LLC,1999Carruadesde Lafite,USA (CA)
256,11348,Carruades De Lafite,1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$325.55,Aabalat Fine & Rare Wines,"1999Carruadesde Lafite Pauillac,Red Blend",USA (CA)
265,11348,Carruades De Lafite,1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$377.00,The Redd Collection,1999Carruadesde Lafite,USA (CA)
266,11348,Carruades De Lafite,1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$470.00,Sokolin & Co.,1999Carruadesde Lafite,USA (NY)
281,11348,Carruades De Lafite,1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$4092.99,Flickinger Wines,1999Carruadesde Lafite Pauillac,USA (IL)
283,11348,Carruades De Lafite,1999,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u,$4380.00,Wine Cellarage,1999Carruades Lafite[Future Arrival],USA (NY)
288,11349,Carruades DeLafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$239.00,MacArthur Beverages,2003Chateau Carruades Lafite-Pauillac,USA (DC)
289,11349,Carruades De Lafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$249.00,Aabalat Fine & Rare Wines,"2003Carruadesde Lafite Pauillac,Red Blend",USA (CA)
290,11349,Carruades De Lafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$305.00,Belmont Wine Exchange LLC,2003Carruadesde Lafite,USA (CA)
303,11349,Carruades De Lafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$380.00,The Redd Collection,2003Carruadesde Lafite,USA (CA)
305,11349,Carruades De Lafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$470.00,Sokolin & Co.,2003Carruadesde Lafite,USA (NY)
315,11349,Carruades De Lafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$2586.00,Wine Cellarage,2003Carruades Lafite[Future Arrival],USA (NY)
332,11349,Carruades De Lafite,2003,750ml,https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u,$5232.00,Wine Cellarage,2003Carruades Lafite[Future Arrival],USA (NY)
336,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$225.00,Grand Vin Wine Merchants US,Angelus1994(375ML)Saint Emilion,USA (WA)
339,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$232.89,Aabalat Fine & Rare Wines,"1994Angelus StEmilion,Red Blend",USA (CA)
340,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$258.00,IronGate.Wine,1994Angelus-750mL,USA (NY)
343,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$294.00,Kahn's Fine Wines & Spirits,1994L'ANGELUS,USA (IN)
353,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$373.00,The Redd Collection,1994Ch Angelus,USA (CA)
354,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$395.00,Sokolin & Co.,1994L'Angelus,USA (NY)
355,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$456.89,Aabalat Fine & Rare Wines,"1994Angelus StEmilion,Red Blend",USA (CA)
360,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$946.89,Aabalat Fine & Rare Wines,"1994Angelus StEmilion,Red Blend",USA (CA)
361,11350,Ch Angelus,1994,750ml,https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u,$1499.00,K&L Wine Merchants,1994Angelus St-Emilion(3L),USA (CA)
368,11351,Ch Angelus,2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$449.98,Wine Exchange,Angelus Saint Emilion2000,USA (CA)
370,11351,Ch Angelus,2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$475.00,Golden West International,Chateau Angelus2000,USA (CA)
388,11351,Ch Angelus,2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$655.00,The Redd Collection,2000Ch Angelus,USA (CA)
392,11351,Ch Angelus,2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$750.00,Sokolin & Co.,2000L'Angelus,USA (NY)
394,11351,Ch Angelus,2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$1022.34,Saratoga Wine Exchange,"2000Chateau Angelus St.Emilion Grand Cru,France,Bordeaux,Saint Emilion",USA (NY)
408,11351,Ch Angelus,2000,750ml,https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u,$4062.00,Wine Cellarage,2000Chateau Angelus[Future Arrival],USA (NY)
422,11352,Ch Angelus,2002,750ml,https://www.wine-searcher.com/find/ch+angelus/2002/-/-/u,$320.00,Vinfolio,2002Angelus750ML,USA (CA)
430,11352,Ch Angelus,2002,750ml,https://www.wine-searcher.com/find/ch+angelus/2002/-/-/u,$411.00,The Redd Collection,2002Ch Angelus,USA (CA)
440,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$349.95,Real Wine,2003Chateau Angelus(Wine Stained Label),USA (FL)
445,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$375.00,RL Liquid Assets,Angelus2003750mL,USA (CA)
456,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$430.00,IronGate.Wine,2003Angelus-750mL,USA (NY)
457,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$430.00,The Redd Collection,2003Ch Angelus,USA (CA)
462,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$473.00,Wine Cellarage,2003Chateau Angelus Saint Emilion Premier Grand Cru ClasseA,USA (NY)
464,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$510.00,Sokolin & Co.,2003L'Angelus,USA (NY)
466,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$2000.00,Sherry-Lehmann,"Angelus,(Saint-Emilion)David Sugar Engraved''Leopard'',2003",USA (NY)
477,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$2614.99,Flickinger Wines,2003Ch.L'Angelus St.Emilion,USA (IL)
478,11353,Ch Angelus,2003,750ml,https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u,$2760.00,Wine Cellarage,2003Chateau Angelus[Future Arrival],USA (NY)
492,11354,Ch Angelus,2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$325.00,Flickinger Wines,2004Ch.Angelus St.Emilion,USA (IL)
506,11354,Ch Angelus,2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$390.00,IronGate.Wine,2004Angelus-750mL,USA (NY)
507,11354,Ch Angelus,2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$390.00,The Redd Collection,2004Ch Angelus,USA (CA)
512,11354,Ch Angelus,2004,750ml,https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u,$689.97,Rye Brook Wine & Spirit Shop,"Chateau-Angelus Saint-Emilion2004,Bordeaux,St.Emilion",USA (NY)
540,11355,Ch Angelus,2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$390.00,The Redd Collection,2006Ch Angelus,USA (CA)
541,11355,Ch Angelus,2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$390.00,Westgarth Wines,2006Angelus,USA (CA)
